course,section,Room,Max_Enr,Instructor_1
COMP-1103,1,O218,50,TBA
COMP-1103,2,B219,50,TBA
COMP-1103,3,B101,50,Perri P
COMP-1103,501,E203,25,TBA
COMP-1103,502,E203,25,TBA
COMP-1103,503,B162,25,TBA
COMP-1103,504,B162,25,TBA
COMP-1103,505,B162,25,Perri P
COMP-1103,506,B162,25,Perri P
COMP-1207,1,E203,35,Perri P
COMP-1501,1,T107,40,TBA
COMP-1501,2,Q306,60,Yumol R
COMP-1501,401,B107,20,TBA
COMP-1501,402,B107,20,TBA
COMP-1501,403,B107,20,Yumol R
COMP-1501,404,B107,20,Yumol R
COMP-1501,405,B107,20,Yumol R
COMP-1501,501,B107,20,TBA
COMP-1501,502,B107,20,TBA
COMP-1501,503,B107,20,Yumol R
COMP-1501,504,B107,20,Yumol R
COMP-1501,505,B107,20,Yumol R
COMP-1502,1,E123,30,Yumol R
COMP-1502,401,B162,30,TBA
COMP-1502,501,B162,30,TBA
COMP-1615,1,E203,35,TBA
COMP-1615,401,E203,35,TBA
COMP-1631,1,EA2062,34,Khemka-Dolan N
COMP-1631,2,EA1048,34,Pospisil P
COMP-1631,401,B107,17,Khemka-Dolan N
COMP-1631,402,B107,17,Khemka-Dolan N
COMP-1631,403,B107,17,Pospisil P
COMP-1631,404,B107,17,Pospisil P
COMP-2001,1,B219,50,Perri P
COMP-2001,2,O226,50,Uzoka F
COMP-2001,401,B162,25,Perri P
COMP-2001,402,B162,25,Perri P
COMP-2001,403,B162,25,Uzoka F
COMP-2001,403,E203,25,Uzoka F
COMP-2001,404,B162,25,Uzoka F
COMP-2001,404,E203,25,Uzoka F
COMP-2503,1,EB1102,60,Elahi B
COMP-2503,401,B162,20,Elahi B
COMP-2503,402,B162,20,Elahi B
COMP-2503,403,B162,20,Elahi B
COMP-2511,1,T239,20,TBA
COMP-2511,101,T239,20,TBA
COMP-2511,501,B107,20,TBA
COMP-2511,502,B162,20,TBA
COMP-2521,1,EB1102,60,Ittyipe S
COMP-2521,401,E203,20,Ittyipe S
COMP-2521,402,E203,20,Ittyipe S
COMP-2521,403,E203,20,Ittyipe S
COMP-2531,1,EB3130,40,Khemka-Dolan N
COMP-2531,501,B162,20,Khemka-Dolan N
COMP-2531,502,B162,20,Khemka-Dolan N
COMP-2541,1,T241,40,Ittyipe S
COMP-2541,401,E203,20,Ittyipe S
COMP-2541,402,E203,20,Ittyipe S
COMP-2613,1,T130,25,Schroeder M
COMP-2613,401,E131,25,Schroeder M
COMP-2631,1,E131,29,TBA
COMP-2631,401,B162,29,TBA
COMP-2655,1,E204,25,Pospisil P
COMP-2655,401,E203,25,Pospisil P
COMP-3309,1,EB3120,40,Connolly R
COMP-3504,1,E206,30,Amannejad Y
COMP-3504,401,B162,30,Amannejad Y
COMP-3512,1,T225,40,Connolly R
COMP-3512,401,B215,20,Connolly R
COMP-3512,402,B215,20,Connolly R
COMP-3532,1,T235,40,TBA
COMP-3532,501,B215,20,TBA
COMP-3532,502,B215,20,TBA
COMP-3533,1,EA1067,48,Gong M
COMP-3533,501,B215,16,Gong M
COMP-3533,501,B160,16,Gong M
COMP-3533,502,B215,16,Gong M
COMP-3533,502,B160,16,Gong M
COMP-3533,503,B160,16,TBA
COMP-3533,503,B215,16,TBA
COMP-3591,1,TBA,25,TBA
COMP-3614,1,EA2005,35,Hepler C
COMP-3614,401,EB1023,35,Hepler C
COMP-4535,1,E206,30,Gong M
COMP-4543,1,T230,30,TBA
COMP-4545,1,E206,30,Yumol R
COMP-4555,1,E206,30,TBA
COMP-4555,401,E203,30,TBA
COMP-5590,1,TBA,10,Fedoruk A
MATH-0115,1,T225,40,TBA
MATH-0115,1,B217,40,TBA
MATH-0115,2,EB12,40,TBA
MATH-0115,3,T137,40,TBA
MATH-0115,065,EB1113,30,TBA
MATH-0115,065,EB1113,30,TBA
MATH-0115,066,EB1006,30,TBA
MATH-0115,066,EB1006,30,TBA
MATH-0115,401,E206,20,TBA
MATH-0115,402,X305,20,TBA
MATH-0115,403,EB12,20,TBA
MATH-0115,404,EB12,20,TBA
MATH-0115,405,T137,20,TBA
MATH-0115,406,T137,20,TBA
MATH-0115,465,EB1113,30,TBA
MATH-0115,466,EB1006,30,TBA
MATH-0130,1,B217,45,TBA
MATH-0130,1,B217,45,TBA
MATH-0130,2,B217,50,TBA
MATH-0130,2,B219,50,TBA
MATH-0130,3,EA1024,50,TBA
MATH-0130,004,B217,50,TBA
MATH-0130,005,Q306,50,TBA
MATH-0130,065,B217,5,TBA
MATH-0130,065,B217,5,TBA
MATH-0130,401,B217,20,TBA
MATH-0130,402,T234,25,TBA
MATH-0130,403,E206,25,TBA
MATH-0130,404,T234,25,TBA
MATH-0130,405,EA1024,25,TBA
MATH-0130,406,EA1024,25,TBA
MATH-0130,407,B217,25,TBA
MATH-0130,408,B217,25,TBA
MATH-0130,409,W207,25,TBA
MATH-0130,410,T234,25,TBA
MATH-0130,465,B217,5,TBA
MATH-0131,1,T225,40,TBA
MATH-0132,1,B219,50,TBA
MATH-0132,1,B219,50,TBA
MATH-0132,2,B219,50,TBA
MATH-0132,3,B219,50,TBA
MATH-0132,004,B219,50,TBA
MATH-0132,004,EA2031,50,TBA
MATH-0132,065,EB1109,30,TBA
MATH-0132,065,EB1109,30,TBA
MATH-0132,401,T234,25,TBA
MATH-0132,402,Y210,25,TBA
MATH-0132,403,B219,25,TBA
MATH-0132,404,B219,25,TBA
MATH-0132,405,Y210,25,TBA
MATH-0132,406,W227,25,TBA
MATH-0132,407,EA2056,25,TBA
MATH-0132,408,EA2056,25,TBA
MATH-0132,465,EB1109,30,TBA
MATH-1103,1,EA2013,35,TBA
MATH-1150,1,EA2058,35,Lagu I
MATH-1185,1,Y316,30,Zizler P
MATH-1185,501,B162,30,Sobhanzadeh M
MATH-1200,1,EB1102,48,Roettger E
MATH-1200,1,EB1102,48,Roettger E
MATH-1200,2,B219,48,Killough D
MATH-1200,2,B219,48,Killough D
MATH-1200,3,EA2057,48,TBA
MATH-1200,3,EA2057,48,TBA
MATH-1200,004,B217,48,Videla Rico C
MATH-1200,004,B217,48,Videla Rico C
MATH-1200,005,B217,48,Svishchuk M
MATH-1200,005,B217,48,Svishchuk M
MATH-1200,006,EB1102,48,La Haye R
MATH-1200,006,EB1102,48,TBA
MATH-1200,007,EA2057,48,Thangarajah P
MATH-1200,007,EA2057,48,Thangarajah P
MATH-1200,008,EB1018,48,Videla Rico C
MATH-1200,008,EB1010,48,Videla Rico C
MATH-1200,401,B220,24,Roettger E
MATH-1200,402,B220,24,Roettger E
MATH-1200,403,E125,24,Killough D
MATH-1200,404,E125,24,Killough D
MATH-1200,405,B217,24,TBA
MATH-1200,406,B217,24,TBA
MATH-1200,407,B217,24,Videla Rico C
MATH-1200,408,B217,24,Videla Rico C
MATH-1200,409,B222,24,Svishchuk M
MATH-1200,410,B222,24,Svishchuk M
MATH-1200,411,B231,24,La Haye R
MATH-1200,412,B231,24,La Haye R
MATH-1200,413,E123,24,Thangarajah P
MATH-1200,414,W207,24,Thangarajah P
MATH-1200,415,EB1018,24,Videla Rico C
MATH-1200,416,EB1018,24,Videla Rico C
MATH-1203,1,EB1102,45,Thangarajah P
MATH-1203,2,EA1053,45,Bhandari G
MATH-1203,3,O218,45,Svishchuk M
MATH-1203,401,X305,45,Thangarajah P
MATH-1203,402,B217,45,Bhandari G
MATH-1203,403,EA1024,45,Svishchuk M
MATH-1205,1,EA1022,36,Lagu I
MATH-1505,1,T235,40,Dawson A
MATH-1505,401,B220,20,Dawson A
MATH-1505,402,B220,20,Dawson A
MATH-2200,1,Y316,40,Lagu I
MATH-2200,401,W227,40,Lagu I
MATH-2233,1,E133,36,TBA
MATH-2233,2,T231,36,Bhandari G
MATH-2233,401,EB1011,36,TBA
MATH-2233,402,EB1011,36,Bhandari G
MATH-2235,1,E131,30,Liu S
MATH-2235,401,T130,30,Liu S
MATH-2235,501,EB1011,30,Liu S
MATH-2333,1,T225,40,Liu S
MATH-2333,2,E133,40,Bhandari G
MATH-2333,3,T235,40,Roettger E
MATH-2333,401,E147,40,Liu S
MATH-2333,402,E147,40,Bhandari G
MATH-2333,403,E147,40,Roettger E
MATH-3202,1,T131,35,Lagu I
MATH-4201,1,EA1045,10,Zizler P
